"name","fix_relig"
"Don Young","Protestant"
"Dan Sullivan","Catholic"
"Lisa Murkowski","Catholic"
"Jerry Carl","Protestant"
"Barry Moore","Protestant"
"Mike D. Rogers","Protestant"
"Robert B. Aderholt","Protestant"
"Mo Brooks","Other"
"Gary Palmer","Protestant"
"Terri A. Sewell","Protestant"
"Richard C. Shelby","Protestant"
"Tommy Tuberville","Protestant"
"Rick Crawford","Protestant"
"French Hill","Catholic"
"Steve Womack","Protestant"
"Bruce Westerman","Protestant"
"Tom Cotton","Protestant"
"John Boozman","Protestant"
"Tom O'Halleran","Catholic"
"Ann Kirkpatrick","Catholic"
"Raul M. Grijalva","Catholic"
"Paul Gosar","Catholic"
"Andy Biggs","Other"
"David Schweikert","Catholic"
"Ruben Gallego","Catholic"
"Debbie Lesko","Protestant"
"Greg Stanton","Catholic"
"Mark Kelly","Catholic"
"Kyrsten Sinema","Other"
"Doug LaMalfa","Protestant"
"Jared Huffman","Other"
"John Garamendi","Protestant"
"Tom McClintock","Protestant"
"Mike Thompson","Catholic"
"Doris Matsui","Protestant"
"Ami Bera","Protestant"
"Jay Obernolte","Protestant"
"Jerry McNerney","Catholic"
"Josh Harder","Protestant"
"Mark DeSaulnier","Catholic"
"Nancy Pelosi","Catholic"
"Barbara Lee","Protestant"
"Jackie Speier","Catholic"
"Eric Swalwell","Protestant"
"Jim Costa","Catholic"
"Ro Khanna","Other"
"Anna G. Eshoo","Catholic"
"Zoe Lofgren","Protestant"
"Jimmy Panetta","Catholic"
"David Valadao","Catholic"
"Devin Nunes","Catholic"
"Kevin McCarthy","Protestant"
"Salud Carbajal","Catholic"
"Mike Garcia","Protestant"
"Julia Brownley","Protestant"
"Judy Chu","Protestant"
"Adam B. Schiff","Jewish"
"Tony Cardenas","Protestant"
"Brad Sherman","Jewish"
"Pete Aguilar","Catholic"
"Grace F. Napolitano","Catholic"
"Ted Lieu","Catholic"
"Jimmy Gomez","Catholic"
"Norma J. Torres","Catholic"
"Raul Ruiz","Protestant"
"Karen Bass","Protestant"
"Linda T. Sanchez","Catholic"
"Young Kim","Protestant"
"Lucille Roybal-Allard","Catholic"
"Mark Takano","Protestant"
"Ken Calvert","Protestant"
"Maxine Waters","Protestant"
"Nanette Barragan","Catholic"
"Katie Porter","Protestant"
"Lou Correa","Catholic"
"Alan Lowenthal","Jewish"
"Michelle Steel","Protestant"
"Mike Levin","Catholic"
"Darrell Issa","Catholic"
"Juan C. Vargas","Catholic"
"Scott Peters","Protestant"
"Sara Jacobs","Jewish"
"Dianne Feinstein","Jewish"
"Kamala Harris","Protestant"
"Diana DeGette","Protestant"
"Joe Neguse","Protestant"
"Lauren Boebert","Other"
"Ken Buck","Protestant"
"Doug Lamborn","Protestant"
"Jason Crow","Other"
"Ed Perlmutter","Protestant"
"Michael Bennet","Unknown"
"John Hickenlooper","Protestant"
"John B. Larson","Catholic"
"Joe Courtney","Catholic"
"Rosa DeLauro","Catholic"
"Jim Himes","Protestant"
"Jahana Hayes","Protestant"
"Richard Blumenthal","Jewish"
"Christopher S. Murphy","Protestant"
"Lisa Blunt Rochester","Protestant"
"Thomas R. Carper","Protestant"
"Chris Coons","Protestant"
"Matt Gaetz","Protestant"
"Neal Dunn","Catholic"
"Kat Cammack","Protestant"
"John Rutherford","Catholic"
"Al Lawson","Protestant"
"Michael Waltz","Protestant"
"Stephanie Murphy","Protestant"
"Bill Posey","Protestant"
"Darren Soto","Catholic"
"Val B. Demings","Protestant"
"Daniel Webster","Protestant"
"Gus Bilirakis","Catholic"
"Charlie Crist","Protestant"
"Kathy Castor","Protestant"
"Scott Franklin","Protestant"
"Vern Buchanan","Protestant"
"Greg Steube","Protestant"
"Brian Mast","Protestant"
"Byron Donalds","Protestant"
"Alcee L. Hastings","Protestant"
"Lois Frankel","Jewish"
"Ted Deutch","Jewish"
"Debbie Wasserman Schultz","Jewish"
"Frederica S. Wilson","Protestant"
"Mario Diaz-Balart","Catholic"
"Carlos Gimenez","Catholic"
"Maria Elvira Salazar","Protestant"
"Marco Rubio","Catholic"
"Rick Scott","Protestant"
"Earl L. ""Buddy"" Carter","Protestant"
"Sanford D. Bishop Jr.","Protestant"
"Drew Ferguson","Other"
"Hank Johnson","Other"
"Nikema Williams","Protestant"
"Lucy McBath","Protestant"
"Carolyn Bourdeaux","Protestant"
"Austin Scott","Protestant"
"Andrew Clyde","Protestant"
"Jody B. Hice","Protestant"
"Barry Loudermilk","Protestant"
"Rick W. Allen","Protestant"
"David Scott","Protestant"
"Marjorie Taylor Greene","Protestant"
"Ed Case","Protestant"
"Kai Kahele","Unknown"
"Brian Schatz","Jewish"
"Mazie K. Hirono","Other"
"Ashley Hinson","Other"
"Mariannette Miller-Meeks","Catholic"
"Cindy Axne","Catholic"
"Randy Feenstra","Protestant"
"Charles E. Grassley","Protestant"
"Joni Ernst","Protestant"
"Russ Fulcher","Protestant"
"Mike Simpson","Other"
"Jim Risch","Catholic"
"Michael D. Crapo","Other"
"Bobby L. Rush","Protestant"
"Robin Kelly","Other"
"Marie Newman","Catholic"
"Jesus ""Chuy"" Garcia","Catholic"
"Mike Quigley","Protestant"
"Sean Casten","Unknown"
"Danny K. Davis","Protestant"
"Raja Krishnamoorthi","Other"
"Jan Schakowsky","Jewish"
"Brad Schneider","Jewish"
"Bill Foster","Unknown"
"Mike Bost","Protestant"
"Rodney Davis","Catholic"
"Lauren Underwood","Protestant"
"Mary Miller","Protestant"
"Adam Kinzinger","Protestant"
"Cheri Bustos","Catholic"
"Darin LaHood","Catholic"
"Richard J. Durbin","Catholic"
"Tammy Duckworth","Unknown"
"Frank J. Mrvan","Catholic"
"Jackie Walorski","Protestant"
"Jim Banks","Protestant"
"Jim Baird","Protestant"
"Victoria Spartz","Catholic"
"Greg Pence","Catholic"
"Andre Carson","Other"
"Larry Bucshon","Protestant"
"Trey Hollingsworth","Protestant"
"Mike Braun","Catholic"
"Todd Young","Protestant"
"Tracey Mann","Protestant"
"Jake LaTurner","Catholic"
"Sharice Davids","Unknown"
"Ron Estes","Protestant"
"Jerry Moran","Protestant"
"Roger Marshall","Other"
"James R. Comer","Protestant"
"Brett Guthrie","Protestant"
"John Yarmuth","Jewish"
"Thomas Massie","Protestant"
"Harold Rogers","Protestant"
"Andy Barr","Protestant"
"Mitch McConnell","Protestant"
"Rand Paul","Protestant"
"Steve Scalise","Catholic"
"Cedric L. Richmond","Protestant"
"Clay Higgins","Protestant"
"Mike Johnson","Protestant"
"Garret Graves","Catholic"
"John Kennedy","Protestant"
"Bill Cassidy","Protestant"
"Richard E. Neal","Catholic"
"Jim McGovern","Catholic"
"Lori Trahan","Catholic"
"Jake Auchincloss","Jewish"
"Katherine M. Clark","Protestant"
"Seth Moulton","Protestant"
"Ayanna S. Pressley","Protestant"
"Stephen F. Lynch","Catholic"
