"","member_i","member_j"
"1","James R. Comer","Don Young"
"2","Kevin Cramer","Dan Sullivan"
"3","John Hoeven","Dan Sullivan"
"4","Deb Fischer","Dan Sullivan"
"5","Dan Sullivan","Lisa Murkowski"
"6","Kyrsten Sinema","Lisa Murkowski"
"7","Susan Collins","Lisa Murkowski"
"8","Deb Fischer","Lisa Murkowski"
"9","Shelley Moore Capito","Lisa Murkowski"
"10","John Barrasso","Lisa Murkowski"
"11","Barry Moore","Jerry Carl"
"12","Robert B. Aderholt","Jerry Carl"
"13","Mo Brooks","Jerry Carl"
"14","Gary Palmer","Jerry Carl"
"15","Steve Womack","Jerry Carl"
"16","Andy Biggs","Jerry Carl"
"17","Debbie Lesko","Jerry Carl"
"18","Doug LaMalfa","Jerry Carl"
"19","Tom McClintock","Jerry Carl"
"20","Jay Obernolte","Jerry Carl"
"21","Ken Calvert","Jerry Carl"
"22","Lauren Boebert","Jerry Carl"
"23","Doug Lamborn","Jerry Carl"
"24","John Rutherford","Jerry Carl"
"25","Michael Waltz","Jerry Carl"
"26","Bill Posey","Jerry Carl"
"27","Gus Bilirakis","Jerry Carl"
"28","Scott Franklin","Jerry Carl"
"29","Greg Steube","Jerry Carl"
"30","Brian Mast","Jerry Carl"
"31","Earl L. ""Buddy"" Carter","Jerry Carl"
"32","Andrew Clyde","Jerry Carl"
"33","Jody B. Hice","Jerry Carl"
"34","Barry Loudermilk","Jerry Carl"
"35","Rick W. Allen","Jerry Carl"
"36","Ashley Hinson","Jerry Carl"
"37","Mariannette Miller-Meeks","Jerry Carl"
"38","Rodney Davis","Jerry Carl"
"39","Mary Miller","Jerry Carl"
"40","Darin LaHood","Jerry Carl"
"41","Jim Banks","Jerry Carl"
"42","Jim Baird","Jerry Carl"
"43","Larry Bucshon","Jerry Carl"
"44","Trey Hollingsworth","Jerry Carl"
"45","Tracey Mann","Jerry Carl"
"46","Ron Estes","Jerry Carl"
"47","James R. Comer","Jerry Carl"
"48","Andy Barr","Jerry Carl"
"49","Clay Higgins","Jerry Carl"
"50","Mike Johnson","Jerry Carl"
"51","Garret Graves","Jerry Carl"
"52","Andy Harris","Jerry Carl"
"53","Jack Bergman","Jerry Carl"
"54","Bill Huizenga","Jerry Carl"
"55","Blaine Luetkemeyer","Jerry Carl"
"56","Vicky Hartzler","Jerry Carl"
"57","Billy Long","Jerry Carl"
"58","Jason Smith","Jerry Carl"
"59","Trent Kelly","Jerry Carl"
"60","Michael Guest","Jerry Carl"
"61","Matt Rosendale","Jerry Carl"
"62","David Rouzer","Jerry Carl"
"63","Richard Hudson","Jerry Carl"
"64","Dan Bishop","Jerry Carl"
"65","Madison Cawthorn","Jerry Carl"
"66","Ted Budd","Jerry Carl"
"67","Adrian Smith","Jerry Carl"
"68","Yvette Herrell","Jerry Carl"
"69","Chris Jacobs","Jerry Carl"
"70","Steve Chabot","Jerry Carl"
"71","Jim Jordan","Jerry Carl"
"72","Markwayne Mullin","Jerry Carl"
"73","Frank D. Lucas","Jerry Carl"
"74","Dan Meuser","Jerry Carl"
"75","Lloyd K. Smucker","Jerry Carl"
"76","Fred Keller","Jerry Carl"
"77","John Joyce","Jerry Carl"
"78","Guy Reschenthaler","Jerry Carl"
"79","Mike Kelly","Jerry Carl"
"80","Jeff Duncan","Jerry Carl"
"81","William R. Timmons IV","Jerry Carl"
"82","Ralph Norman","Jerry Carl"
"83","Tom Rice","Jerry Carl"
"84","Dusty Johnson","Jerry Carl"
"85","Diana Harshbarger","Jerry Carl"
"86","Tim Burchett","Jerry Carl"
"87","Chuck Fleischmann","Jerry Carl"
"88","Scott DesJarlais","Jerry Carl"
"89","John W. Rose","Jerry Carl"
"90","David Kustoff","Jerry Carl"
"91","Louie Gohmert","Jerry Carl"
"92","Pat Fallon","Jerry Carl"
"93","Lance Gooden","Jerry Carl"
"94","Ron Wright","Jerry Carl"
"95","Ronny Jackson","Jerry Carl"
"96","Randy Weber","Jerry Carl"
"97","Pete Sessions","Jerry Carl"
"98","Jodey C. Arrington","Jerry Carl"
"99","Troy Nehls","Jerry Carl"
