"member_name","fix_relig"
"Jeff Sessions","Protestant"
"Richard C. Shelby","Protestant"
"Mark Begich","Catholic"
"Lisa Murkowski","Catholic"
"Jon Kyl","Protestant"
"John McCain","Protestant"
"John Boozman","Protestant"
"Mark Pryor","Protestant"
"Barbara Boxer","Jewish"
"Dianne Feinstein","Jewish"
"Michael Bennet","Unknown"
"Mark Udall","Protestant"
"Richard Blumenthal","Jewish"
"Joseph I. Lieberman","Jewish"
"Thomas R. Carper","Protestant"
"Chris Coons","Protestant"
"Bill Nelson","Protestant"
"Marco Rubio","Catholic"
"Saxby Chambliss","Protestant"
"Johnny Isakson","Protestant"
"Daniel K. Akaka","Protestant"
"Daniel K. Inouye","Protestant"
"Michael D. Crapo","Other"
"Jim Risch","Catholic"
"Richard J. Durbin","Catholic"
"Mark Steven Kirk","Protestant"
"Dan Coats","Protestant"
"Richard G. Lugar","Protestant"
"Charles E. Grassley","Protestant"
"Tom Harkin","Catholic"
"Jerry Moran","Protestant"
"Pat Roberts","Protestant"
"Mitch McConnell","Protestant"
"Rand Paul","Protestant"
"Mary L. Landrieu","Catholic"
"David Vitter","Catholic"
"Susan Collins","Catholic"
"Olympia J. Snowe","Other"
"Benjamin L. Cardin","Jewish"
"Barbara A. Mikulski","Catholic"
"Scott P. Brown","Protestant"
"John Kerry","Catholic"
"Carl Levin","Jewish"
"Debbie Stabenow","Protestant"
"Al Franken","Jewish"
"Amy Klobuchar","Protestant"
"Thad Cochran","Protestant"
"Roger Wicker","Protestant"
"Roy Blunt","Protestant"
"Claire McCaskill","Catholic"
"Max Baucus","Protestant"
"Jon Tester","Protestant"
"Mike Johanns","Catholic"
"Ben Nelson","Protestant"
"John Ensign","Protestant"
"Harry Reid","Other"
"Kelly Ayotte","Catholic"
"Jeanne Shaheen","Protestant"
"Frank R. Lautenberg","Jewish"
"Robert Menendez","Catholic"
"Jeff Bingaman","Protestant"
"Tom Udall","Other"
"Kirsten Gillibrand","Catholic"
"Charles E. Schumer","Jewish"
"Richard M. Burr","Protestant"
"Kay Hagan","Protestant"
"Kent Conrad","Catholic"
"John Hoeven","Catholic"
"Sherrod Brown","Protestant"
"Rob Portman","Protestant"
"Tom Coburn","Protestant"
"James M. Inhofe","Protestant"
"Jeff Merkley","Protestant"
"Ron Wyden","Jewish"
"Bob Casey","Catholic"
"Patrick J. Toomey","Catholic"
"Jack Reed","Catholic"
"Sheldon Whitehouse","Protestant"
"Jim DeMint","Protestant"
"Lindsey Graham","Protestant"
"Tim Johnson","Protestant"
"John Thune","Protestant"
"Lamar Alexander","Protestant"
"Bob Corker","Protestant"
"John Cornyn","Protestant"
"Kay Bailey Hutchison","Protestant"
"Orrin G. Hatch","Other"
"Mike Lee","Other"
"Patrick J. Leahy","Catholic"
"Bernard Sanders","Jewish"
"Mark Warner","Protestant"
"Jim Webb","Protestant"
"Maria Cantwell","Catholic"
"Patty Murray","Catholic"
"Joe Manchin III","Catholic"
"John D. Rockefeller IV","Protestant"
"Ron Johnson","Protestant"
"Herb Kohl","Jewish"
"John Barrasso","Protestant"
"Michael B. Enzi","Protestant"
"Robert B. Aderholt","Protestant"
"Spencer Bachus","Protestant"
"Jo Bonner","Protestant"
"Mo Brooks","Protestant"
"Martha Roby","Protestant"
"Mike D. Rogers","Protestant"
"Terri A. Sewell","Protestant"
"Don Young","Protestant"
"Jeff Flake","Other"
"Trent Franks","Protestant"
"Gabrielle Giffords","Jewish"
"Paul Gosar","Catholic"
"Raul Grijalva","Catholic"
"Ed Pastor","Catholic"
"Ben Quayle","Protestant"
"David Schweikert","Catholic"
"Rick Crawford","Protestant"
"Tim Griffin","Protestant"
"Mike Ross","Protestant"
"Steve Womack","Protestant"
"Joe Baca","Catholic"
"Karen Bass","Protestant"
"Xavier Becerra","Catholic"
"Howard L. Berman","Jewish"
"Brian P. Bilbray","Catholic"
"Ken Calvert","Protestant"
"John Campbell","Protestant"
"Lois Capps","Protestant"
"Dennis Cardoza","Catholic"
"Judy Chu","Unknown"
"Jim Costa","Catholic"
"Susan A. Davis","Jewish"
"Jeff Denham","Protestant"
"David Dreier","Protestant"
"Anna G. Eshoo","Catholic"
"Sam Farr","Protestant"
"Bob Filner","Jewish"
"Elton Gallegly","Protestant"
"John Garamendi","Protestant"
"Jane Harman","Jewish"
"Wally Herger","Other"
"Michael M. Honda","Protestant"
"Duncan Hunter","Protestant"
"Darrell Issa","Protestant"
"Barbara Lee","Protestant"
"Jerry Lewis","Protestant"
"Zoe Lofgren","Protestant"
"Dan Lungren","Catholic"
"Mary Bono Mack","Protestant"
"Doris Matsui","Protestant"
"Kevin McCarthy","Protestant"
"Tom McClintock","Protestant"
"Howard P. ""Buck"" McKeon","Other"
"Jerry McNerney","Catholic"
"Gary G. Miller","Protestant"
"George Miller","Catholic"
"Grace F. Napolitano","Catholic"
"Devin Nunes","Catholic"
"Nancy Pelosi","Catholic"
"Laura  Richardson","Protestant"
"Dana Rohrabacher","Protestant"
"Lucille Roybal-Allard","Catholic"
"Edward R. Royce","Catholic"
"Linda T. Sanchez","Catholic"
"Loretta Sanchez","Catholic"
"Adam B. Schiff","Jewish"
"Brad Sherman","Jewish"
"Jackie Speier","Catholic"
"Pete Stark","Catholic"
"Mike Thompson","Catholic"
"Maxine Waters","Protestant"
"Henry A. Waxman","Jewish"
"Lynn Woolsey","Protestant"
"Mike Coffman","Protestant"
"Diana DeGette","Protestant"
"Cory Gardner","Protestant"
"Doug Lamborn","Protestant"
"Ed Perlmutter","Protestant"
