bioname_j,bioname_i,congress_i,chamber_i,icpsr_i,state_icpsr_i,district_code_i,state_abbrev_i,party_code_i,occupancy_i,last_means_i,bioguide_id_i,born_i,died_i,nominate_dim1_i,nominate_dim2_i,nominate_log_likelihood_i,nominate_geo_mean_probability_i,nominate_number_of_votes_i,nominate_number_of_errors_i,conditional_i,nokken_poole_dim1_i,nokken_poole_dim2_i,bioname_j_i,bioname_i_i,congress_j,chamber_j,icpsr_j,state_icpsr_j,district_code_j,state_abbrev_j,party_code_j,occupancy_j,last_means_j,bioguide_id_j,born_j,died_j,nominate_dim1_j,nominate_dim2_j,nominate_log_likelihood_j,nominate_geo_mean_probability_j,nominate_number_of_votes_j,nominate_number_of_errors_j,conditional_j,nokken_poole_dim1_j,nokken_poole_dim2_j,bioname_j_j,bioname_i_j,ideo_dist,senator_i,senator_j
"BALDWIN, Tammy","BENNET, Michael F.",117,Senate,40910,62,0,CO,100,,,B001267,1964,,-0.23,-0.17,-16.77407,0.98127,887,7,,-0.287,-0.026,"BENNET, Michael F.","BENNET, Michael F.",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.263,BENNET,BALDWIN
"BALDWIN, Tammy","BLUMENTHAL, Richard",117,Senate,41101,1,0,CT,100,,,B001277,1946,,-0.435,-0.168,-20.18832,0.97762,892,7,,-0.365,-0.242,"BLUMENTHAL, Richard","BLUMENTHAL, Richard",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.058,BLUMENTHAL,BALDWIN
"BALDWIN, Tammy","BOOKER, Cory Anthony",117,Senate,41308,12,0,NJ,100,,,B001288,1969,,-0.585,-0.272,-24.49574,0.97261,882,10,,-0.516,-0.415,"BOOKER, Cory Anthony","BOOKER, Cory Anthony",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.092,BOOKER,BALDWIN
"BALDWIN, Tammy","BROWN, Sherrod",117,Senate,29389,24,0,OH,100,,,B000944,1952,,-0.428,-0.109,-13.4954,0.98505,896,6,,-0.402,-0.094,"BROWN, Sherrod","BROWN, Sherrod",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.065,BROWN,BALDWIN
"BALDWIN, Tammy","CANTWELL, Maria E.",117,Senate,39310,73,0,WA,100,,,C000127,1958,,-0.305,-0.413,-10.62357,0.98824,898,3,,-0.381,-0.132,"CANTWELL, Maria E.","CANTWELL, Maria E.",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.188,CANTWELL,BALDWIN
"BALDWIN, Tammy","CARDIN, Benjamin Louis",117,Senate,15408,52,0,MD,100,,,C000141,1943,,-0.319,-0.224,-13.483,0.98508,897,7,,-0.295,-0.311,"CARDIN, Benjamin Louis","CARDIN, Benjamin Louis",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.174,CARDIN,BALDWIN
"BALDWIN, Tammy","CARPER, Thomas Richard",117,Senate,15015,11,0,DE,100,,,C000174,1947,,-0.178,-0.223,-31.53677,0.96568,903,8,,-0.304,-0.333,"CARPER, Thomas Richard","CARPER, Thomas Richard",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.315,CARPER,BALDWIN
"BALDWIN, Tammy","CASEY, Robert (Bob), Jr.",117,Senate,40703,14,0,PA,100,,,C001070,1960,,-0.314,0.176,-21.44297,0.97625,892,8,,-0.296,0.046,"CASEY, Robert (Bob), Jr.","CASEY, Robert (Bob), Jr.",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.179,CASEY,BALDWIN
"BALDWIN, Tammy","COONS, Christopher A.",117,Senate,40916,11,0,DE,100,,,C001088,1963,,-0.231,-0.212,-12.39892,0.98632,900,3,,-0.256,-0.197,"COONS, Christopher A.","COONS, Christopher A.",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.262,COONS,BALDWIN
"BALDWIN, Tammy","CORTEZ MASTO, Catherine Marie",117,Senate,41700,65,0,NV,100,,,C001113,1964,,-0.361,0.338,-31.63612,0.9655,901,14,,-0.237,0.208,"CORTEZ MASTO, Catherine Marie","CORTEZ MASTO, Catherine Marie",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.132,CORTEZ MASTO,BALDWIN
"BALDWIN, Tammy","DUCKWORTH, Tammy",117,Senate,21325,21,0,IL,100,,,D000622,1968,,-0.335,0.098,-14.81856,0.98341,886,5,,-0.322,-0.212,"DUCKWORTH, Tammy","DUCKWORTH, Tammy",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.158,DUCKWORTH,BALDWIN
"BALDWIN, Tammy","DURBIN, Richard Joseph",117,Senate,15021,21,0,IL,100,,,D000563,1944,,-0.348,-0.304,-9.49866,0.98955,904,2,,-0.313,-0.181,"DURBIN, Richard Joseph","DURBIN, Richard Joseph",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.145,DURBIN,BALDWIN
"BALDWIN, Tammy","FEINSTEIN, Dianne",117,Senate,49300,71,0,CA,100,,,F000062,1933,,-0.268,-0.183,-9.42885,0.9882,794,1,,-0.296,-0.196,"FEINSTEIN, Dianne","FEINSTEIN, Dianne",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.225,FEINSTEIN,BALDWIN
"BALDWIN, Tammy","GILLIBRAND, Kirsten",117,Senate,20735,13,0,NY,100,,,G000555,1966,,-0.471,-0.427,-15.65334,0.9827,897,7,,-0.385,-0.521,"GILLIBRAND, Kirsten","GILLIBRAND, Kirsten",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.022,GILLIBRAND,BALDWIN
"BALDWIN, Tammy","HARRIS, Kamala Devi",117,Senate,41701,71,0,CA,100,,,H001075,1964,,-0.709,-0.105,-0.00037,0.99981,2,0,,0,0,"HARRIS, Kamala Devi","HARRIS, Kamala Devi",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.216,HARRIS,BALDWIN
"BALDWIN, Tammy","HASSAN, Margaret (Maggie)",117,Senate,41702,4,0,NH,100,,,H001076,1958,,-0.233,0.024,-41.99165,0.95427,897,18,,-0.212,0.185,"HASSAN, Margaret (Maggie)","HASSAN, Margaret (Maggie)",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.26,HASSAN,BALDWIN
"BALDWIN, Tammy","HEINRICH, Martin",117,Senate,20930,66,0,NM,100,,,H001046,1971,,-0.33,-0.022,-16.82605,0.98112,883,7,,-0.439,0.053,"HEINRICH, Martin","HEINRICH, Martin",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.163,HEINRICH,BALDWIN
"BALDWIN, Tammy","HICKENLOOPER, John Wright",117,Senate,42101,62,0,CO,100,,,H000273,1952,,-0.236,-0.056,-25.76432,0.97118,881,7,,-0.229,-0.108,"HICKENLOOPER, John Wright","HICKENLOOPER, John Wright",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.257,HICKENLOOPER,BALDWIN
"BALDWIN, Tammy","HIRONO, Mazie",117,Senate,20713,82,0,HI,100,,,H001042,1947,,-0.511,-0.09,-13.21195,0.98543,900,4,,-0.483,-0.196,"HIRONO, Mazie","HIRONO, Mazie",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.018,HIRONO,BALDWIN
"BALDWIN, Tammy","KAINE, Timothy Michael (Tim)",117,Senate,41305,40,0,VA,100,,,K000384,1958,,-0.244,-0.059,-17.29352,0.98041,874,5,,-0.274,-0.051,"KAINE, Timothy Michael (Tim)","KAINE, Timothy Michael (Tim)",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.249,KAINE,BALDWIN
"BALDWIN, Tammy","KELLY, Mark Edward",117,Senate,41905,61,0,AZ,100,,,K000377,1964,,-0.184,0.392,-31.5406,0.9651,888,11,,-0.217,0.42,"KELLY, Mark Edward","KELLY, Mark Edward",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.309,KELLY,BALDWIN
"BALDWIN, Tammy","KING, Angus Stanley, Jr.",117,Senate,41300,2,0,ME,328,,,K000383,1944,,-0.161,-0.211,-23.82802,0.97387,900,6,,-0.193,-0.159,"KING, Angus Stanley, Jr.","KING, Angus Stanley, Jr.",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.332,KING,BALDWIN
"BALDWIN, Tammy","KLOBUCHAR, Amy",117,Senate,40700,33,0,MN,100,,,K000367,1960,,-0.284,-0.366,-17.34016,0.98081,895,9,,-0.297,-0.131,"KLOBUCHAR, Amy","KLOBUCHAR, Amy",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.209,KLOBUCHAR,BALDWIN
"BALDWIN, Tammy","LEAHY, Patrick Joseph",117,Senate,14307,6,0,VT,100,,,L000174,1940,,-0.36,-0.121,-8.63674,0.98985,847,3,,-0.403,-0.16,"LEAHY, Patrick Joseph","LEAHY, Patrick Joseph",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.133,LEAHY,BALDWIN
"BALDWIN, Tammy","LUJÁN, Ben Ray",117,Senate,20932,66,0,NM,100,,,L000570,1972,,-0.368,0.015,-15.09893,0.98206,834,7,,-0.421,0.048,"LUJÁN, Ben Ray","LUJÁN, Ben Ray",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.125,LUJÁN,BALDWIN
"BALDWIN, Tammy","MANCHIN, Joe, III",117,Senate,40915,56,0,WV,100,,,M001183,1947,,-0.06,0.417,-84.40838,0.90672,862,27,,-0.078,0.381,"MANCHIN, Joe, III","MANCHIN, Joe, III",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.433,MANCHIN,BALDWIN
"BALDWIN, Tammy","MARKEY, Edward John",117,Senate,14435,3,0,MA,100,,,M000133,1946,,-0.514,-0.459,-29.22912,0.96783,894,11,,-0.647,-0.472,"MARKEY, Edward John","MARKEY, Edward John",117,Senate,29940,25,0,WI,100,,,B001230,1962,,-0.493,-0.136,-22.34731,0.97537,896,10,,-0.467,-0.027,"BALDWIN, Tammy","BALDWIN, Tammy",0.021,MARKEY,BALDWIN
