state_i,state_j
VA,AL
SC,AL
UT,AL
AZ,AL
FL,AK
MT,AK
WA,AK
UT,AK
OR,AK
TN,AZ
OH,AZ
WI,AZ
NM,AZ
IA,AZ
OK,AZ
AL,AZ
NJ,AR
NC,AR
UT,AR
AL,AR
GA,AR
AZ,AR
RI,CA
AK,CA
CT,CA
KY,CA
IL,CA
MN,CA
CA,CO
WA,CO
IA,CO
OR,CO
NM,CO
HI,CT
NY,CT
MA,CT
MD,CT
OR,CT
CT,DE
CO,DE
MD,DE
IL,DE
VA,FL
OK,FL
SC,FL
MN,FL
CT,FL
NC,GA
TN,GA
UT,GA
OK,GA
IL,GA
AK,GA
MA,HI
CA,HI
OR,HI
IL,HI
ME,HI
AZ,ID
UT,ID
NE,ID
NC,ID
NM,IL
MI,IL
MN,IL
WA,IL
OH,IN
VA,IN
ND,IN
AZ,IN
NE,IN
IA,IN
PA,IN
ME,IA
DE,IA
IL,IA
MN,IA
AZ,KS
TN,KS
MO,KS
MN,KS
MD,KS
UT,KS
OH,KS
ND,KY
TN,KY
MN,KY
NE,KY
IN,KY
SC,KY
VA,KY
DE,LA
MN,LA
WA,LA
OK,LA
KY,LA
UT,LA
NM,ME
MO,ME
PA,ME
NV,ME
CA,ME
IA,ME
CT,MD
MN,MD
IA,MD
CA,MD
ND,MD
PA,MD
MD,MA
AZ,MA
DE,MA
IL,MA
CT,MA
CO,MA
WI,MA
HI,MI
IN,MI
OH,MI
WI,MI
NC,MI
MD,MI
CA,MN
NC,MN
WI,MN
KY,MN
ID,MN
RI,MN
NJ,MN
UT,MS
OK,MS
OH,MS
GA,MO
TX,MO
SD,MO
AZ,MO
CA,MO
UT,MT
CO,MT
MN,MT
HI,MT
ME,NE
OH,NE
VA,NE
ND,NE
IA,NE
MI,NV
MD,NV
NH,NV
IA,NV
CA,NV
RI,NH
CO,NH
CT,NH
VT,NH
NM,NH
ME,NJ
CA,NJ
CO,NJ
CT,NJ
TX,NJ
RI,NM
IL,NM
AK,NM
NY,NM
IN,NM
CO,NM
NV,NY
KS,NY
WA,NY
CT,NY
NC,NY
IL,NC
KS,NC
MN,NC
CA,NC
SC,NC
NE,ND
KS,ND
MO,ND
GA,ND
DE,OH
SD,OH
PA,OH
MS,OH
CO,OH
WI,OK
OH,OK
IN,OK
MO,OK
TX,OK
MS,OK
CA,OR
CT,OR
NJ,OR
RI,OR
WA,PA
IA,PA
LA,PA
KS,PA
OK,PA
MA,PA
MA,RI
ID,RI
PA,RI
MN,RI
CT,RI
WA,RI
TN,SC
OK,SC
AR,SC
UT,SC
ME,SD
UT,SD
FL,SD
WV,SD
UT,TN
OH,TN
OK,TN
KY,TN
VA,TN
SC,TN
MN,TN
ID,TX
MO,TX
TN,TX
VA,TX
MN,TX
MN,UT
MI,UT
MS,UT
MO,UT
OH,UT
OR,VT
KS,VT
ME,VT
MA,VT
CO,VT
NC,VA
IN,VA
PA,VA
TX,VA
AR,VA
HI,VA
KS,VA
CT,WA
DE,WA
MT,WA
IL,WA
NY,WA
ME,WA
NE,WV
NM,WV
KY,WV
MO,WV
TN,WI
NY,WI
NJ,WI
ID,WI
OH,WI
NM,WY
MT,WY
CO,WY
